id,tenant_id,name,address,city,state,zip_code,country,gps_coordinates,contact_name,contact_phone,contact_email,start_date,end_date,status,description,created_at,updated_at,is_active
1,1,Harvard university campus 1,Harvard Square m,Boston,MA,01452,United States,"",James,7441399081,Shyam@jumbow.io,2025-05-01,2025-10-31,planned,Harvard university campus construction ,2025-05-21 18:32:11.593846,2025-05-21 18:39:34.155,t
3,1,Downtown Medical Center Expansion,"421 Main Street, Boston, MA 02108",Boston,MA,02108,USA,,,,,,,active,Expansion of the east wing of Downtown Medical Center to add 120 beds and modern facilities.,2025-05-22 14:43:48.514787,2025-05-22 14:43:48.514787,t
4,1,Riverfront Luxury Condominiums,"50 Harbor Drive, New York, NY 10014",New York,NY,10014,USA,,,,,,,active,Construction of 35-story luxury condominium tower with 250 units and retail spaces.,2025-05-22 14:44:03.221718,2025-05-22 14:44:03.221718,t
5,1,Tech Innovation Campus Phase II,"1800 Technology Way, San Francisco, CA 94105",San Francisco,CA,94105,USA,,,,,,,active,Second phase of the tech campus development with four office buildings and a research center.,2025-05-22 14:44:03.221718,2025-05-22 14:44:03.221718,t
6,1,Westside Elementary School Renovation,"350 School Avenue, Chicago, IL 60611",Chicago,IL,60611,USA,,,,,,,active,Complete renovation of the 50-year-old elementary school including seismic upgrades and modernization.,2025-05-22 14:44:03.221718,2025-05-22 14:44:03.221718,t
7,1,Central Station Transit Hub,"100 Transit Plaza, Seattle, WA 98104",Seattle,WA,98104,USA,,,,,,,active,"Construction of new multi-modal transit hub connecting light rail, bus, and regional train services.",2025-05-22 14:44:03.221718,2025-05-22 14:44:03.221718,t
8,1,Oakwood Bridge Replacement,"River Road, Portland, OR 97201",Portland,OR,97201,USA,,,,,,,active,Replacement of aging bridge structure with new earthquake-resistant design.,2025-05-22 14:44:03.221718,2025-05-22 14:44:03.221718,t
9,1,Greenfield Solar Farm,"5000 Energy Drive, Phoenix, AZ 85004",Phoenix,AZ,85004,USA,,,,,,,active,Installation of 50MW solar farm with battery storage facility on former industrial land.,2025-05-22 14:44:03.221718,2025-05-22 14:44:03.221718,t
10,1,Bayside Shopping Mall Redevelopment,"200 Retail Drive, Miami, FL 33131",Miami,FL,33131,USA,,,,,,,active,"Transformation of outdated shopping mall into mixed-use development with retail, dining, and apartments.",2025-05-22 14:44:03.221718,2025-05-22 14:44:03.221718,t
11,1,Mountain View Data Center,"4500 Cloud Way, Denver, CO 80202",Denver,CO,80202,USA,,,,,,,active,Construction of tier-4 data center with state-of-the-art cooling and power systems.,2025-05-22 14:44:03.221718,2025-05-22 14:44:03.221718,t
12,1,Harbor City Convention Center,"1000 Convention Boulevard, San Diego, CA 92101",San Diego,CA,92101,USA,,,,,,,active,"New convention center with 500,000 sq ft of exhibition space and 50,000 sq ft of meeting rooms.",2025-05-22 14:44:03.221718,2025-05-22 14:44:03.221718,t
